Supersection,Assessment.Area,Associated.Species,Site.Class,Board.Feet,Basal.Area.(Square.Feet.per.Acre),Common.Practice.-.Above.Ground.Carbon.Mean.(Metric.Tonnes.CO2-equivalent),Species.Diversity.Index,Fire.Risk.Rating,Rotation.Length,Value.of.Harvest
Adirondacks & Green Mountains,Adirondacks & Green Mountains Northeast Conifers,"Aspen, balsam fir, black spruce, eastern hemlock, eastern white pine, northern red oak, white ash, gray birch, northern white-cedar, Norway spruce, paper birch, red pine, red spruce, Scotch pine, tamarack, white, red, jack pine, white spruce",Low,6285.43017578125,128.940002441406,84.03317890516888,0.65,0.04,Long,Low
Adirondacks & Green Mountains,Adirondacks & Green Mountains Northeast Conifers,"Aspen, balsam fir, black spruce, eastern hemlock, eastern white pine, northern red oak, white ash, gray birch, northern white-cedar, Norway spruce, paper birch, red pine, red spruce, Scotch pine, tamarack, white, red, jack pine, white spruce",High,8015.490234375,137.039993286133,90.89166960389572,0.65,0.04,Long,Low
Adirondacks & Green Mountains,Adirondacks & Green Mountains Northern Hardwood,"Balsam poplar, black ash, american elm, red maple, black cherry, cherry, white ash, yellow poplar, maple, basswood, maple, beech, birch group, mixed upland hardwoods, northern red aok, post oak, blackjack oak, lowland, oak, upland, scarlet oak, silver maple, sugar maple, yellow birch, sugarberry, hackberry, elm, green ash, sweetbay, swamp tupelo, sycamore, pecan, white oak, red oak, hickory, willow",High,5153.39013671875,119.529998779297,97.81674913228545,0.65,0.04,Long,Medium
Adirondacks & Green Mountains,Adirondacks & Green Mountains Northern Hardwood,"Balsam poplar, black ash, american elm, red maple, black cherry, cherry, white ash, yellow poplar, maple, basswood, maple, beech, birch group, mixed upland hardwoods, northern red aok, post oak, blackjack oak, lowland, oak, upland, scarlet oak, silver maple, sugar maple, yellow birch, sugarberry, hackberry, elm, green ash, sweetbay, swamp tupelo, sycamore, pecan, white oak, red oak, hickory, willow",Low,4225.080078125,103.470001220703,83.73353552194801,0.65,0.04,Long,Medium
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Cove Forests,"Black walnut, eastern hemlock, eastern white pine, red maple, red oak, yellow poplar, white oak",High,9045.58984375,106.940002441406,103.70972720194801,0.7,0.04,Long,Low
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Cove Forests,"Black walnut, eastern hemlock, eastern white pine, red maple, red oak, yellow poplar, white oak",Low,5676.509765625,104.76000213623,90.52544374127282,0.7,0.04,Long,Low
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Mixed Hardwoods,"Black ash , American elm , red maple, black locust, cottonwood, elm, ash, birch,sycamore, sassafras, persimmon, pecan, willow",High,5302.60009765625,88.5100021362305,74.31143203355829,0.7,0.04,Long,Low
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Mixed Hardwoods,"Black ash , American elm , red maple, black locust, cottonwood, elm, ash, birch,sycamore, sassafras, persimmon, pecan, willow",Low,2694.26000976563,68.7300033569336,52.33762309063641,0.7,0.04,Long,Low
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Mixed Pine-Hardwood,"Eastern redcedar, eastern white pine, northern red oak, white ash, Virginia pine, southern red oak",Low,1667.65002441406,68.5999984741211,43.947621060973844,0.6,0.04,Long,Low
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Mixed Pine-Hardwood,"Eastern redcedar, eastern white pine, northern red oak, white ash, Virginia pine, southern red oak",High,3362.17993164063,79.9800033569336,56.69909300449369,0.6,0.04,Long,Low
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Northern Conifer,"Aspen, balsam fir, black spruce, eastern white pine, Norway spruce, red pine, red spruce, Scotch pine",All,4550.43017578125,84,52.43750316,0.65,0.04,Long,Low
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Northern Hardwoods,"Black cherry, white ash, yellow-poplar, hard maple, basswood, maple, beech, birch group, red maple, upland, sugar maple, yellow birch",Low,5081.39013671875,99.0400009155273,86.76325741872716,0.7,0.04,Long,Medium
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Northern Hardwoods,"Black cherry, white ash, yellow-poplar, hard maple, basswood, maple, beech, birch group, red maple, upland, sugar maple, yellow birch",High,7246.02001953125,107.480003356934,100.0141360593248,0.7,0.04,Long,Medium
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Oak-Hickory,"Chestnut oak, black oak, scarlet oak, northern red oak, post oak, blackjack oak, white oak, hickory",High,7446.490234375,114.940002441406,115.09615671355827,0.65,0.04,Long,Medium
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Oak-Hickory,"Chestnut oak, black oak, scarlet oak, northern red oak, post oak, blackjack oak, white oak, hickory",Low,4730.08984375,103.51000213623,93.18893342516887,0.65,0.04,Long,Medium
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Pine,"Table Mountain pine, Virginia pine",All,3121.15991210938,88.8199996948242,55.067704779324806,0.75,0.04,Long,Very Low
Tonto Transition,Tonto Transition Mixed Conifer,"Deciduous oak woodland, Douglas-fir, southwestern white pine",All,1366.92004394531,71.1900024414063,30.53439888000489,0.65,0.04,Long,Medium
Tonto Transition,Tonto Transition Oak Woodland,"Evergreen oak woodland, sugarberry, hackberry,elm, green ash",All,248.0Extremely Long007324219,99.4400024414063,28.66269979000091,0.75,0.04,Long,Very Low
Tonto Transition,Tonto Transition Pinyon / Juniper Woodland,"Cottonwood, juniper, mesquite, pinyon",All,203.36000061035199,73.6100006103516,20.368500699996936,0.65,0.04,Long,Very Low
Tonto Transition,Tonto Transition Ponderosa Pine,Ponderosa pine,All,2824.21997070313,50.4900016784668,26.717600769996643,0.9,0.04,Long,Low
White Mountains - San Francisco Peaks - Mongollan,White Mountains - San Francisco Peaks - Mongollan Mixed Conifer,"Deciduous oak woodland, Douglas-fir, southwestern white pine",All,9775.9599609375,93,62.99159135161025,0.65,0.04,Long,Low
White Mountains - San Francisco Peaks - Mongollan,White Mountains - San Francisco Peaks - MongollanOak Woodland,"Evergreen oak woodland, sugarberry, hackberry,elm, green ash",All,456.92001342773398,51.5400009155273,15.414961627415623,0.75,0.04,Long,Very Low
White Mountains - San Francisco Peaks - Mongollan,White Mountains - San Francisco Peaks - Mongollan Pinyon / Juniper Woodland,"Cottonwood, juniper, mesquite, pinyon",All,158.07000732421901,74.7300033569336,15.714603423071365,0.65,0.04,Long,Very Low
White Mountains - San Francisco Peaks - Mongollan,White Mountains - San Francisco Peaks - Mongollan Ponderosa Pine,Ponderosa pine,All,6472.18017578125,89.2799987792969,47.64321855385727,0.9,0.04,Long,Low
Aroostook Hills and Lowlands,AroostookHills and Lowlands Conifer Bog,"Black spruce, white cedar, tamarack",All,3252.56005859375,117.98999786377,54.64630125999467,0.8,0.04,Long,Low
Aroostook Hills and Lowlands,Aroostook-Maine-New Brunswick Hills and Lowlands Lowland Hardwoods,"Balsam poplar, black ash, American elm, red maple, birch, sycamore, cherry, white ash, yellow poplar, basswood,  sugar maple",All,587.530029296875,55.25,27.89199965000153,0.7,0.04,Long,Medium
Aroostook Hills and Lowlands,Aroostook Hills and Lowlands Northern Hardwoods,"Black cherry, white ash, yellow poplar, basswood, birch, red maple, sugar maple, beech",High,2565.92993164063,89.0999984741211,61.39909832000722,0.65,0.04,Long,Medium
Aroostook Hills and Lowlands,Aroostook Hills and Lowlands Northern Hardwoods,"Black cherry, white ash, yellow poplar, basswood, birch, red maple, sugar maple, beech",Low,1605.5400390625,79.2300033569336,54.793101119995185,0.65,0.04,Long,Medium
Aroostook Hills and Lowlands,Aroostook Hills and Lowlands Pine Forests,"Eastern white pine, eastern hemlock, red pine",All,21362.560546875,225.759994506836,183.42659832000723,0.65,0.04,Long,Low
Aroostook Hills and Lowlands,Aroostook Hills and Lowlands Poplar/Birch,"Aspen, gray birch, paper birch",All,2063.57006835938,89.879997253418,52.59109972000139,0.75,0.04,Long,Very Low
Aroostook Hills and Lowlands,Aroostook Hills and Lowlands Spruce-Fir,"Balsam fir, eastern hemlock, Norway spruce, red spruce, white spruce",High,3443.080078125,114.089996337891,58.60990097999569,0.7,0.04,Long,Low
Aroostook Hills and Lowlands,Aroostook Hills and Lowlands Spruce-Fir,"Balsam fir, eastern hemlock, Norway spruce, red spruce, white spruce",Low,1773.53002929688,82.1500015258789,36.920201539993286,0.7,0.04,Long,Low
