OBJECTID,Join_Count,TARGET_FID,biosum_con,ID,biosum_plo,lat,lon,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
1,1,0,1.20051E+24,1,1.20051E+23,41.585499,-124.058511,06,015,01682074,06015,Del Norte,Del Norte County,06,H1,G4020, ,18860, ,A,2606493818,578525693,+41.7499033,-123.9809983
2,1,1,1.20061E+24,2,1.20061E+23,39.739733,-121.508703,06,007,01675842,06007,Butte,Butte County,06,H1,G4020, ,17020, ,A,4238423210,105325747,+39.6659588,-121.6019188
3,1,2,1.20061E+24,3,1.20061E+23,41.78481,-124.066632,06,015,01682074,06015,Del Norte,Del Norte County,06,H1,G4020, ,18860, ,A,2606493818,578525693,+41.7499033,-123.9809983
4,1,3,1.20061E+24,4,1.20061E+23,38.78118,-123.388052,06,045,00277287,06045,Mendocino,Mendocino County,06,H1,G4020, ,46380, ,A,9081419701,962952585,+39.4323876,-123.4428811
5,1,4,1.20061E+24,5,1.20061E+23,41.577507,-121.5703,06,093,00277311,06093,Siskiyou,Siskiyou County,06,H1,G4020, , , ,A,16259596390,179889136,+41.5879861,-122.5332868
6,1,5,1.20061E+24,6,1.20061E+23,38.797339,-122.942587,06,097,01657246,06097,Sonoma,Sonoma County,06,H1,G4020,488,42220, ,A,4081430061,497530414,+38.5250258,-122.9376050
7,1,6,1.20061E+24,7,1.20061E+23,38.650085,-123.066076,06,097,01657246,06097,Sonoma,Sonoma County,06,H1,G4020,488,42220, ,A,4081430061,497530414,+38.5250258,-122.9376050
8,1,7,1.20061E+24,8,1.20061E+23,38.650085,-123.066076,06,097,01657246,06097,Sonoma,Sonoma County,06,H1,G4020,488,42220, ,A,4081430061,497530414,+38.5250258,-122.9376050
9,1,8,1.20071E+24,9,1.20071E+23,41.986027,-122.932582,06,093,00277311,06093,Siskiyou,Siskiyou County,06,H1,G4020, , , ,A,16259596390,179889136,+41.5879861,-122.5332868
10,1,9,1.20071E+24,10,1.20071E+23,41.961292,-123.130698,06,093,00277311,06093,Siskiyou,Siskiyou County,06,H1,G4020, , , ,A,16259596390,179889136,+41.5879861,-122.5332868
11,1,10,1.20071E+24,11,1.20071E+23,41.985813,-123.229826,06,093,00277311,06093,Siskiyou,Siskiyou County,06,H1,G4020, , , ,A,16259596390,179889136,+41.5879861,-122.5332868
12,1,11,1.20071E+24,12,1.20071E+23,40.468323,-124.137839,06,023,01681908,06023,Humboldt,Humboldt County,06,H1,G4020, ,21700, ,A,9241033283,1254256391,+40.7066731,-123.9258181
13,1,12,1.20071E+24,13,1.20071E+23,39.253969,-123.461892,06,045,00277287,06045,Mendocino,Mendocino County,06,H1,G4020, ,46380, ,A,9081419701,962952585,+39.4323876,-123.4428811
14,1,13,1.20071E+24,14,1.20071E+23,37.535245,-121.681824,06,001,01675839,06001,Alameda,Alameda County,06,H1,G4020,488,41860,36084,A,1914046027,213184599,+37.6481344,-121.9132907
15,1,14,1.20071E+24,15,1.20071E+23,37.690118,-121.973938,06,001,01675839,06001,Alameda,Alameda County,06,H1,G4020,488,41860,36084,A,1914046027,213184599,+37.6481344,-121.9132907
16,1,15,1.20071E+24,16,1.20071E+23,38.831665,-119.885685,06,003,01675840,06003,Alpine,Alpine County,06,H1,G4020, , , ,A,1912258488,12557258,+38.6176096,-119.7989986
17,1,16,1.20071E+24,17,1.20071E+23,38.821511,-119.825152,06,003,01675840,06003,Alpine,Alpine County,06,H1,G4020, , , ,A,1912258488,12557258,+38.6176096,-119.7989986
18,1,17,1.20071E+24,18,1.20071E+23,38.821511,-119.825152,06,003,01675840,06003,Alpine,Alpine County,06,H1,G4020, , , ,A,1912258488,12557258,+38.6176096,-119.7989986
