biosum_cond_id,ID,biosum_plot_id,lat,lon,elev
1200506050501500846430001,1,120050605050150084643000,41.585499,-124.058511,300
1200606050600700951860001,2,120060605060070095186000,39.739733,-121.508703,2100
1200606050601500746410002,3,120060605060150074641000,41.78481,-124.066632,300
1200606050604500942360001,4,120060605060450094236000,38.78118,-123.388052,900
1200606050609300817290001,5,120060605060930081729000,41.577507,-121.5703,6900
1200606050609700762720001,6,120060605060970076272000,38.797339,-122.942587,1700
1200606050609700797920001,7,120060605060970079792000,38.650085,-123.066076,1300
1200606050609700797920003,8,120060605060970079792000,38.650085,-123.066076,1300
1200706010709300667830001,9,120070601070930066783000,41.986027,-122.932582,5300
1200706010709300858560001,10,120070601070930085856000,41.961292,-123.130698,3900
1200706010709300872720001,11,120070601070930087272000,41.985813,-123.229826,3300
1200706050602300734170001,12,120070605060230073417000,40.468323,-124.137839,1100
1200706050604500780330001,13,120070605060450078033000,39.253969,-123.461892,1300
1200706050700100635500001,14,120070605070010063550000,37.535245,-121.681824,3100
1200706050700100639380001,15,120070605070010063938000,37.690118,-121.973938,700
1200706050700300503360001,16,120070605070030050336000,38.831665,-119.885685,8900
1200706050700300804960001,17,120070605070030080496000,38.821511,-119.825152,7700
1200706050700300804960002,18,120070605070030080496000,38.821511,-119.825152,7700
1200706050700500875110001,19,120070605070050087511000,38.457513,-120.673827,2700
1200706050700700588310001,20,120070605070070058831000,39.85891,-121.473158,3900
1200706050700700604520001,21,120070605070070060452000,39.9227,-121.673087,2100
1200706050700700629700001,22,120070605070070062970000,39.981189,-121.659718,3100
1200706050700700796760001,23,120070605070070079676000,39.572363,-121.13262,3500
1200706050700700914900001,24,120070605070070091490000,39.82125,-121.621317,2300
1200706050700700988180001,25,120070605070070098818000,39.687046,-121.462598,1700
1200706050700900519920001,26,120070605070090051992000,38.484068,-120.095327,7300
1200706050700900768900001,27,120070605070090076890000,37.906642,-120.594664,5700
1200706050700900768900002,28,120070605070090076890000,37.906642,-120.594664,5700
1200706050701100986400002,29,120070605070110098640000,39.271049,-122.628748,3500
1200706050701500562420001,30,120070605070150056242000,41.612886,-123.956017,1900
1200706050701500572910001,31,120070605070150057291000,41.462407,-123.623422,4100
1200706050701700546920001,32,120070605070170054692000,38.939386,-120.435112,5900
1200706050701700555160001,33,120070605070170055516000,38.554009,-120.420481,4500
1200706050701700620580001,34,120070605070170062058000,38.606899,-120.241285,6900
1200706050701700679920001,35,120070605070170067992000,38.73167,-120.57547,3900
1200706050701700718240001,36,120070605070170071824000,38.900756,-120.617217,4300
1200706050701700727290001,37,120070605070170072729000,38.754007,-120.296352,5300
1200706050701700812310001,38,120070605070170081231000,38.576991,-120.553309,3500
1200706050701700834540001,39,120070605070170083454000,38.762116,-120.747923,2100
1200706050701700854170001,40,120070605070170085417000,38.606625,-120.430194,4700
1200706050701700964270001,41,120070605070170096427000,38.913269,-120.741279,3100
1200706050701900583600001,42,120070605070190058360000,37.035545,-119.225577,4100
1200706050701900879200001,43,120070605070190087920000,37.182131,-119.224746,7900
1200706050701900985350001,44,120070605070190098535000,37.075657,-119.382396,3700
1200706050701900999840001,45,120070605070190099984000,37.362557,-119.239019,5900
1200706050702100995230001,46,120070605070210099523000,39.567122,-122.68415,3500
1200706050702300501720001,47,120070605070230050172000,40.504123,-124.15865,1100
1200706050702300544670001,48,120070605070230054467000,41.103679,-123.849598,2500
1200706050702300546390001,49,120070605070230054639000,41.275699,-123.926928,1300
1200706050702300550080001,50,120070605070230055008000,40.761704,-124.141401,100
1200706050702300551960001,51,120070605070230055196000,40.087799,-123.895397,1300
1200706050702300561820001,52,120070605070230056182000,40.933382,-123.868887,1900
1200706050702300564670001,53,120070605070230056467000,40.794835,-123.800555,3500
1200706050702300598640001,54,120070605070230059864000,41.292098,-123.591439,1500
1200706050702300626910001,55,120070605070230062691000,40.745705,-123.982041,1700
1200706050702300626910002,56,120070605070230062691000,40.745705,-123.982041,1700
1200706050702300664370001,57,120070605070230066437000,41.04642,-124.054039,1100
1200706050702300672760001,58,120070605070230067276000,40.579398,-123.951989,900
1200706050702300698540001,59,120070605070230069854000,40.680286,-124.069046,500
1200706050702300740690001,60,120070605070230074069000,40.949454,-123.693245,2500
1200706050702300753710001,61,120070605070230075371000,41.062619,-123.727436,1900
1200706050702300755820001,62,120070605070230075582000,41.140904,-123.573193,3300
1200706050702300773120001,63,120070605070230077312000,41.252484,-123.717662,3100
1200706050702300793180001,64,120070605070230079318000,40.751665,-123.650457,4300
1200706050702300914640001,65,120070605070230091464000,40.134228,-123.72359,2100
1200706050702300941330001,66,120070605070230094133000,41.388452,-123.96472,100
1200706050702300945760001,67,120070605070230094576000,40.44271,-123.612066,3500
1200706050702300945760002,68,120070605070230094576000,40.44271,-123.612066,3500
1200706050702900900250001,69,120070605070290090025000,35.471227,-118.40587,7700
1200706050703300718270001,70,120070605070330071827000,38.882872,-122.758954,3500
1200706050703300731700001,71,120070605070330073170000,39.226461,-122.946785,2300
1200706050703300742790001,72,120070605070330074279000,39.540784,-122.842842,4100
1200706050703300999570002,73,120070605070330099957000,38.909638,-122.90253,2100
1200706050703500514420001,74,120070605070350051442000,40.529303,-120.784448,5500
1200706050703500544250001,75,120070605070350054425000,41.030952,-120.97891,5300
1200706050703500581080001,76,120070605070350058108000,40.687738,-121.199962,5500
1200706050703500588100001,77,120070605070350058810000,40.721628,-120.963177,5700
1200706050703500603620001,78,120070605070350060362000,40.217777,-120.890946,5300
1200706050703500608570001,79,120070605070350060857000,40.688381,-121.263766,5500
1200706050703500633930001,80,120070605070350063393000,40.834367,-120.827245,6100
1200706050703500663620001,81,120070605070350066362000,40.666974,-121.092227,5700
1200706050703500720050001,82,120070605070350072005000,40.398664,-120.93971,6100
1200706050703500873530001,83,120070605070350087353000,40.845024,-121.319704,5300
1200706050703500899050001,84,120070605070350089905000,40.552643,-120.959453,6100
1200706050703500900530001,85,120070605070350090053000,40.682002,-120.810172,5300
1200706050703700852770001,86,120070605070370085277000,34.187597,-118.042441,2500
1200706050703900637880001,87,120070605070390063788000,37.389653,-119.425447,6100
1200706050703900677110001,88,120070605070390067711000,37.331872,-119.538425,3900
1200706050703900722980001,89,120070605070390072298000,37.3658,-119.704039,2100
1200706050704300527600001,90,120070605070430052760000,37.51466,-119.737508,6300
1200706050704500618640001,91,120070605070450061864000,39.563574,-123.68932,100
1200706050704500635240001,92,120070605070450063524000,39.271792,-123.661298,900
1200706050704500647010001,93,120070605070450064701000,38.858973,-123.504648,1900
1200706050704500647660001,94,120070605070450064766000,39.012807,-123.110887,700
1200706050704500683910001,95,120070605070450068391000,39.002391,-123.572579,700
1200706050704500717570001,96,120070605070450071757000,39.643707,-123.488505,2100
1200706050704500717570002,97,120070605070450071757000,39.643707,-123.488505,2100
1200706050704500730010001,98,120070605070450073001000,39.945768,-123.825672,900
1200706050704500734930001,99,120070605070450073493000,38.889601999999996,-123.202216,900
1200706050704500763060001,100,120070605070450076306000,39.484381,-123.44719,2500
1200706050704500780310001,101,120070605070450078031000,39.976348,-123.210211,2900
1200706050704500810020001,102,120070605070450081002000,39.312565,-123.45969,900
1200706050704500835040001,103,120070605070450083504000,38.988399,-123.378139,700
1200706050704500856900001,104,120070605070450085690000,39.516684,-123.601468,1100
1200706050704500885490001,105,120070605070450088549000,39.3228,-123.623726,300
1200706050704500885980001,106,120070605070450088598000,39.162151,-123.412828,1300
1200706050704900595380001,107,120070605070490059538000,41.324595,-120.855764,6100
1200706050704900735460002,108,120070605070490073546000,41.305217,-121.216561,4300
1200706050705100534990001,109,120070605070510053499000,38.14003,-119.26415,8100
1200706050705100895060002,110,120070605070510089506000,38.327443,-119.629818,9700
1200706050705300542070002,111,120070605070530054207000,36.524624,-121.87651,500
1200706050705700539850001,112,120070605070570053985000,39.2691,-120.766174,4100
1200706050705700556730001,113,120070605070570055673000,39.403467,-120.656644,6300
1200706050705700935560002,114,120070605070570093556000,39.367525,-120.971115,3300
1200706050705700996350001,115,120070605070570099635000,39.428476,-120.826917,4100
1200706050705700996350002,116,120070605070570099635000,39.428476,-120.826917,4100
1200706050706100504040001,117,120070605070610050404000,39.106688,-120.791652,3500
1200706050706100512040001,118,120070605070610051204000,39.224651,-120.630123,5300
1200706050706100531620001,119,120070605070610053162000,39.285977,-120.187398,6500
1200706050706100642340001,120,120070605070610064234000,39.202055,-120.755214,900
1200706050706100720150001,121,120070605070610072015000,39.051175,-120.607937,4700
1200706050706100896140001,122,120070605070610089614000,39.283262,-120.029625,8500
1200706050706300506280001,123,120070605070630050628000,40.326175,-121.093258,5100
1200706050706300538450001,124,120070605070630053845000,39.937663,-120.569915,6300
1200706050706300606860001,125,120070605070630060686000,39.750429,-120.831489,6100
1200706050706300651330001,126,120070605070630065133000,39.993971,-121.026785,4300
1200706050706300716460001,127,120070605070630071646000,39.695891,-120.987327,5500
1200706050706300734580001,128,120070605070630073458000,39.822544,-121.326603,4700
1200706050706300748680001,129,120070605070630074868000,39.712999,-121.161715,4700
1200706050706300782790001,130,120070605070630078279000,40.143474,-121.331769,6100
1200706050706300805930002,131,120070605070630080593000,39.882509,-120.706923,4900
1200706050706300844490001,132,120070605070630084449000,39.90341,-120.83148,4900
1200706050706300902670001,133,120070605070630090267000,40.042534,-120.69892,4700
1200706050706300916460001,134,120070605070630091646000,40.190187,-120.75088,5900
1200706050706300919930001,135,120070605070630091993000,40.189467,-121.07414,4500
1200706050706300941140001,136,120070605070630094114000,40.194542,-121.150038,4700
